card_name,set,card_number,language,variant,quantity,condition,grading_company,grade,unit_price,currency,priced_at,image_url,product_type,rarity,source_page,source_url,source_entries
Charizard ex,SV: 151,199/165,English,,1,,PSA,10,1703.43,USD,2026-09-06,/collection/collectr-271.webp,graded,Special Illustration Rare,3,https://app.getcollectr.com/portfolio/products,1
Lugia V (Alternate Full Art),Silver Tempest,186/195,English,,1,,PSA,10,1302.08,USD,2026-09-06,/collection/collectr-272.webp,graded,Ultra Rare,3,https://app.getcollectr.com/portfolio/products,1
Red's Pikachu (JP),Sun & Moon Promos (JP),270/SM-P,Japanese,,1,,PSA,10,1283.69,USD,2026-09-06,/collection/collectr-273.webp,graded,Promo,3,https://app.getcollectr.com/portfolio/products,1
Rayquaza VMAX (Alternate Art Secret),Evolving Skies,218/203,English,Holofoil,1,Near Mint,,,1255.34,USD,2026-09-06,/collection/collectr-274.webp,raw,Secret Rare,3,https://app.getcollectr.com/portfolio/products,1
Eevee (JP),Sun & Moon Promos (JP),287/SM-P,Japanese,Normal,1,Near Mint,,,1041.23,USD,2026-09-06,/collection/collectr-285.webp,raw,Promo,4,https://app.getcollectr.com/portfolio/products,1
Gengar VMAX (Alternate Art Secret),Fusion Strike,271/264,English,Holofoil,1,Near Mint,,,1035.19,USD,2026-09-06,/collection/collectr-286.webp,raw,Secret Rare,4,https://app.getcollectr.com/portfolio/products,1
Mew ex (JP),Shiny Treasure ex,347/190,Japanese,,1,,PSA,10,896.42,USD,2026-09-06,/collection/collectr-287.webp,graded,Super Rare,4,https://app.getcollectr.com/portfolio/products,1
Dialga EX (122 Secret Rare),Phantom Forces,122,English,Holofoil,1,Lightly Played,,,861.54,USD,2026-09-06,/collection/collectr-289.webp,raw,Secret Rare,4,https://app.getcollectr.com/portfolio/products,1
Giratina V (Alternate Full Art),Lost Origin,186/196,English,Holofoil,1,Near Mint,,,832.41,USD,2026-09-06,/collection/collectr-269.webp,raw,Ultra Rare,4,https://app.getcollectr.com/portfolio/products,1
Mewtwo GX (Secret Shining),Shining Legends,78,English,Holofoil,1,Near Mint,,,809.37,USD,2026-09-06,/collection/collectr-290.webp,raw,Shiny Holo Rare,4,https://app.getcollectr.com/portfolio/products,1
Gengar & Mimikyu GX (Alternate Full Art),Team Up,165,English,Holofoil,1,Damaged,,,719.66,USD,2026-09-06,/collection/collectr-291.webp,raw,Ultra Rare,4,https://app.getcollectr.com/portfolio/products,1
Mega Charizard X ex,Inferno X,110/080,Japanese,Holofoil,1,Near Mint,,,714.95,USD,2026-09-06,/collection/collectr-292.webp,raw,Special Art Rare,4,https://app.getcollectr.com/portfolio/products,1
Gardevoir & Sylveon GX (205) (Full Art),Unbroken Bonds,205,English,Holofoil,1,Near Mint,,,639.38,USD,2026-09-06,/collection/collectr-303.webp,raw,Ultra Rare,5,https://app.getcollectr.com/portfolio/products,1
Arceus & Dialga & Palkia GX (Alternate Full Art),Cosmic Eclipse,221/236,English,Holofoil,1,Near Mint,,,568.04,USD,2026-09-06,/collection/collectr-306.webp,raw,Ultra Rare,5,https://app.getcollectr.com/portfolio/products,1
Umbreon V (JP),Eevee Heroes,085/069,Japanese,,1,,PSA,10,538.03,USD,2026-09-06,/collection/collectr-307.webp,graded,Secret Rare,5,https://app.getcollectr.com/portfolio/products,1
Dragonite V (Alternate Full Art),Evolving Skies,192/203,English,Holofoil,1,Near Mint,,,532.67,USD,2026-09-06,/collection/collectr-309.webp,raw,Ultra Rare,5,https://app.getcollectr.com/portfolio/products,1
Lugia V (Alternate Full Art),Silver Tempest,186/195,English,Holofoil,1,Near Mint,,,527.13,USD,2026-09-06,/collection/collectr-272.webp,raw,Ultra Rare,5,https://app.getcollectr.com/portfolio/products,1
Mew ex (JP),Shiny Treasure ex,347/190,Japanese,Holofoil,1,Near Mint,,,501.47,USD,2026-09-06,/collection/collectr-287.webp,raw,Super Rare,5,https://app.getcollectr.com/portfolio/products,1
Xerneas EX (146 Full Art),XY Base Set,146,English,,1,,PSA,9,500.08,USD,2026-09-06,/collection/collectr-322.webp,graded,Ultra Rare,6,https://app.getcollectr.com/portfolio/products,1
